Parcel_ID,Barycenter_0,Barycenter_1,Barycenter_2
0,1.203564655346175e-12,2.334146819182435e-13,-1.3381170470213443e-13
1,6.821210263296962e-14,-2.767642904978452e-13,1.55955453904879e-13
2,-6.442254137558242e-13,-5.444231074189129e-13,-4.763739849587947e-13
3,-8.329455643737068e-13,4.938233186060797e-14,-1.3479652021984457e-13
4,7.480593922082335e-13,2.6906370768635974e-13,-1.7580368218758335e-14
5,4.130621770552049e-14,4.921959895684392e-13,-3.946873706933318e-13
6,-9.303372886885579e-13,-3.503035975771843e-13,4.921015975664235e-13
7,-2.5541642874789734e-13,2.6978307653701416e-13,9.953914236070385e-14
8,7.306274104242524e-13,4.161715606510097e-14,2.670401791431523e-13
9,-1.184616849059239e-12,9.995779865199612e-14,-3.6930596393211774e-13
10,4.3504163234805067e-13,-4.0403979610410644e-13,4.1620822791039433e-13
11,-3.3158661002138007e-13,-4.9683334369687005e-14,-4.1525975105887595e-13
12,-1.58403660558785e-13,2.317089335216831e-13,4.736951571734338e-17
13,2.2131037743141255e-13,-2.9034489548619814e-13,3.77846651780232e-13
14,2.0084674664152165e-13,1.2014023762757834e-13,2.3755606177829855e-13
15,-2.1638394779680918e-13,3.7070289857719894e-13,-3.882209496404013e-13
16,5.741185304941609e-13,-3.937354146425301e-13,-2.671009092915078e-13
17,7.958078640513122e-14,-4.980836906941564e-13,5.344979293219587e-13
18,6.696154741803184e-13,3.6610267944112317e-13,3.0397865900835176e-13
19,6.108772746908168e-13,-3.4929096652073595e-13,-4.74625758292303e-13
20,-2.0994169365925094e-13,4.564487865530462e-13,-3.252951233747072e-13
21,1.6295113406764964e-13,-1.9003070721939563e-14,3.7142006642005227e-13
22,7.397223574419817e-13,-5.666223046318917e-13,-2.785726425364581e-13
23,-8.344613888766616e-13,1.290431734532555e-13,2.962213501611021e-13
24,-2.3267906120357416e-13,-1.6523458764581885e-14,-5.140094014909574e-13
25,6.408148086241757e-13,-3.433538510981979e-13,-4.221849141888217e-13
26,2.9103830456733704e-13,2.228301493940105e-13,-5.844385959457852e-13
